id,planting_date,plantig_density,nitrogen_fertilizer,seed_cost,nitrogen_cost,total_cost
baseline,1,1.1,30,1.4839,29.7,31.1839
pd1pp1n0,1,1.1,0,1.4839,0,1.4839
pd1pp1n20,1,1.1,20,1.4839,19.8,21.2839
pd1pp1n40,1,1.1,40,1.4839,39.6,41.0839
pd1pp1n60,1,1.1,60,1.4839,59.4,60.8839
pd1pp1n80,1,1.1,80,1.4839,79.2,80.6839
pd1pp1n100,1,1.1,100,1.4839,99,100.4839
pd1pp3n0,1,3.3,0,4.4517,0,4.4517
pd1pp3n20,1,3.3,20,4.4517,19.8,24.2517
pd1pp3n40,1,3.3,40,4.4517,39.6,44.0517
pd1pp3n60,1,3.3,60,4.4517,59.4,63.8517
pd1pp3n80,1,3.3,80,4.4517,79.2,83.6517
pd1pp3n100,1,3.3,100,4.4517,99,103.4517
pd1pp6n0,1,6.6,0,8.9034,0,8.9034
pd1pp6n20,1,6.6,20,8.9034,19.8,28.7034
pd1pp6n40,1,6.6,40,8.9034,39.6,48.5034
pd1pp6n60,1,6.6,60,8.9034,59.4,68.3034
pd1pp6n80,1,6.6,80,8.9034,79.2,88.1034
pd1pp6n100,1,6.6,100,8.9034,99,107.9034
pd2pp1n0,2,1.1,0,1.4839,0,1.4839
pd2pp1n20,2,1.1,20,1.4839,19.8,21.2839
pd2pp1n40,2,1.1,40,1.4839,39.6,41.0839
pd2pp1n60,2,1.1,60,1.4839,59.4,60.8839
pd2pp1n80,2,1.1,80,1.4839,79.2,80.6839
pd2pp1n100,2,1.1,100,1.4839,99,100.4839
pd2pp3n0,2,3.3,0,4.4517,0,4.4517
pd2pp3n20,2,3.3,20,4.4517,19.8,24.2517
pd2pp3n40,2,3.3,40,4.4517,39.6,44.0517
pd2pp3n60,2,3.3,60,4.4517,59.4,63.8517
pd2pp3n80,2,3.3,80,4.4517,79.2,83.6517
pd2pp3n100,2,3.3,100,4.4517,99,103.4517
pd2pp6n0,2,6.6,0,8.9034,0,8.9034
pd2pp6n20,2,6.6,20,8.9034,19.8,28.7034
pd2pp6n40,2,6.6,40,8.9034,39.6,48.5034
pd2pp6n60,2,6.6,60,8.9034,59.4,68.3034
pd2pp6n80,2,6.6,80,8.9034,79.2,88.1034
pd2pp6n100,2,6.6,100,8.9034,99,107.9034
pd3pp1n0,3,1.1,0,1.4839,0,1.4839
pd3pp1n20,3,1.1,20,1.4839,19.8,21.2839
pd3pp1n40,3,1.1,40,1.4839,39.6,41.0839
pd3pp1n60,3,1.1,60,1.4839,59.4,60.8839
pd3pp1n80,3,1.1,80,1.4839,79.2,80.6839
pd3pp1n100,3,1.1,100,1.4839,99,100.4839
pd3pp3n0,3,3.3,0,4.4517,0,4.4517
pd3pp3n20,3,3.3,20,4.4517,19.8,24.2517
pd3pp3n40,3,3.3,40,4.4517,39.6,44.0517
pd3pp3n60,3,3.3,60,4.4517,59.4,63.8517
pd3pp3n80,3,3.3,80,4.4517,79.2,83.6517
pd3pp3n100,3,3.3,100,4.4517,99,103.4517
pd3pp6n0,3,6.6,0,8.9034,0,8.9034
pd3pp6n20,3,6.6,20,8.9034,19.8,28.7034
pd3pp6n40,3,6.6,40,8.9034,39.6,48.5034
pd3pp6n60,3,6.6,60,8.9034,59.4,68.3034
pd3pp6n80,3,6.6,80,8.9034,79.2,88.1034
pd3pp6n100,3,6.6,100,8.9034,99,107.9034
